term	count
yang	95650
dia	65074
kau	64849
awak	64272
ini	57730
tidak	56940
dan	56252
akan	55151
kita	50971
apa	50204
itu	47516
kamu	45032
untuk	40926
anda	33998
ada	33911
mereka	31965
boleh	31656
dengan	29765
tahu	26992
kami	24232
dari	20747
dalam	20384
sini	19987
semua	18555
pergi	18512
adalah	18294
orang	17291
nak	15834
sekarang	15586
lagi	14797
pada	14257
jangan	14188
jadi	14068
bukan	12857
baik	12225
seperti	11910
mana	11893
satu	11646
perlu	11624
jika	11619
buat	11610
telah	11487
sudah	11045
lebih	10971
hanya	10608
ayah	10083
mahu	9785
datang	9652
mungkin	9539
siapa	9398
sangat	9002
terima	8600
lakukan	8508
bagaimana	8451
hari	8326
kasih	8299
seorang	8291
dapat	8178
masa	7930
pernah	7521
kalau	7505
mari	7456
juga	7414
baiklah	7393
sana	7359
rasa	7252
atau	7204
sesuatu	7120
adakah	6959
keluar	6912
harus	6893
mati	6761
kepada	6730
cakap	6585
tuan	6560
tempat	6503
dengar	6336
banyak	6314
masih	6305
bagus	6291
menjadi	6279
kerana	6190
lihat	6121
betul	6115
tentang	6100
lain	6074
begitu	5945
selamat	5878
ingin	5857
kembali	5784
macam	5734
anak	5636
tunggu	5607
diri	5557
beritahu	5543
hidup	5540
lelaki	5514
maaf	5512
cepat	5489
baru	5317
melihat	5299
malam	5288
masuk	5081
tolong	5078
rumah	4979
pun	4947
sedang	4941
cuma	4928
tahun	4801
kan	4684
kawan	4676
tetapi	4643
dua	4542
mempunyai	4514
berlaku	4495
suka	4461
pasti	4420
sendiri	4406
atas	4404
berada	4404
nampak	4386
bahawa	4351
okey	4288
tuhan	4284
daripada	4255
cuba	4247
kata	4236
jumpa	4185
faham	4165
sama	4159
besar	4126
masalah	4113
beberapa	4089
fikir	4004
salah	3945
lama	3945
mengapa	3898
bawa	3814
sekali	3786
kereta	3784
tinggal	3757
ambil	3708
sebelum	3666
sayang	3638
berhenti	3610
jalan	3606
dunia	3603
kena	3589
bagi	3586
melakukan	3583
ingat	3563
bersama	3543
bercakap	3486
membuat	3478
nama	3468
memang	3424
semuanya	3407
kali	3389
itulah	3383
sampai	3347
bunuh	3334
bila	3284
oleh	3272
setiap	3256
ibu	3218
perkara	3171
cara	3127
apakah	3096
sedikit	3093
percaya	3078
belum	3075
tentu	3069
hebat	3063
sebagai	3031
kerja	3026
sebab	3011
kemudian	3007
seseorang	2985
pertama	2958
cari	2941
katakan	2920
membunuh	2914
polis	2886
luar	2883
lalu	2880
tengok	2868
terlalu	2863
tangan	2857
kecil	2852
minta	2825
ketika	2774
cukup	2774
dulu	2759
manusia	2737
hal	2732
bawah	2706
mencari	2681
mesti	2676
berapa	2629
ikut	2621
tanpa	2556
bodoh	2542
benar	2526
punya	2519
tiga	2496
nanti	2495
mendapat	2475
terus	2470
gila	2466
benda	2460
sebenarnya	2433
selalu	2428
bisa	2397
maksud	2393
bekerja	2375
budak	2360
berikan	2288
apabila	2282
biar	2272
senjata	2269
takut	2239
balik	2229
paling	2225
jam	2179
saat	2175
berjaya	2170
perempuan	2165
pulang	2158
keluarga	2146
wanita	2136
beliau	2131
gadis	2126
tidur	2124
mata	2115
duduk	2091
pintu	2088
telefon	2075
patut	2074
guna	2070
selama	2068
semula	2060
waktu	2006
selepas	2001
hati	1989
biasa	1956
beri	1954
minit	1951
bilik	1910
belakang	1907
pagi	1899
hilang	1893
mengatakan	1885
ialah	1867
sahaja	1862
membantu	1842
cantik	1828
gembira	1821
wang	1815
tadi	1803
depan	1776
pasukan	1765
lari	1763
terbaik	1725
tembak	1722
jauh	1702
cinta	1689
berdua	1670
kepala	1639
hampir	1617
lepaskan	1616
hai	1603
buruk	1597
bulan	1590
bandar	1578
kenal	1572
mampu	1572
secara	1570
mudah	1561
tetap	1552
kaki	1549
duit	1548
mula	1536
semasa	1527
berkata	1523
dekat	1503
kalian	1490
kehidupan	1489
sedia	1489
kapal	1483
yakin	1480
diam	1477
bangun	1472
sial	1471
seluruh	1468
kehilangan	1466
buka	1456
kuat	1455
turun	1454
cik	1444
terbang	1426
esok	1423
berjalan	1419
menarik	1417
encik	1416
abang	1412
tentera	1410
bahagian	1408
tepat	1403
pula	1378
keadaan	1358
naik	1356
api	1349
jatuh	1346
selesai	1339
memberi	1335
lima	1328
lepas	1311
melalui	1310
tua	1302
arah	1295
sekolah	1293
raja	1292
ahli	1282
perang	1279
anjing	1274
bermain	1272
panggil	1272
sakit	1268
puan	1259
suatu	1257
makanan	1243
negara	1243
sejak	1241
cerita	1230
mengenai	1229
walaupun	1223
ramai	1220
sentiasa	1215
antara	1210
kapten	1209
minggu	1205
tanah	1189
harap	1178
pukul	1176
tiba	1167
memberikan	1162
tanya	1156
janji	1156
teruskan	1155
tinggi	1150
celaka	1147
supaya	1143
khabar	1141
lah	1133
agak	1124
berubah	1114
isteri	1113
belajar	1113
buku	1105
selamatkan	1103
setelah	1098
idea	1094
batu	1092
penuh	1090
menang	1088
segera	1084
demi	1081
berita	1080
peduli	1079
tangkap	1071
jelas	1069
darah	1063
tengah	1063
sungguh	1059
teman	1059
pilihan	1057
kuasa	1051
sepanjang	1047
berdiri	1043
fikirkan	1030
serius	1024
sukar	1019
jaga	1012
tenang	1011
hantar	1009
menuju	1008
begini	1008
marah	1005
empat	1002
nombor	999
kurang	999
doktor	992
penjara	992
lupa	979
rahsia	978
presiden	976
keselamatan	974
kedua	972
panas	967
pakai	958
nya	954
kunci	953
para	948
risau	947
sebelah	943
kematian	943
milik	939
terhadap	937
ketua	937
gambar	936
nah	935
sebentar	931
permainan	924
dilakukan	923
